Job,Business Area,Area of Expertise,Looking,Skills
BCP  Cloud Infrastructure Engineer,COO & Functions,Technology,"Experience of working in a Middleware service delivery environment or similar
Analytical ability covering incident recovery, root cause identification and eradication and pro-active service and process improvement
Understanding of the full project lifecycle and key quality gates with emphasis on validation and Live implementation phase
Ability to track and enforce adherence to Middleware product standards and acceptance criteria","OPENSHIFT V3 and V4
Docker/CRI-O
Kubernetes
WILY/ prometheus"
Americas Finance Control Business Partner,COO & Functions,Operations,"s degree
Relevant experience in SOx/internal audit/internal controls/public accounting/financial services
Understanding of internal controls and governance within an Investment Bank or Broker Dealer&nbsp
Working knowledge of financial accounting and products, regulatory reporting, control governance and SOx","Experience of working independently to assess, improve and enhance a process and able to demonstrate a pragmatic approach to problem solving
Excellent communication and interpersonal skills and be able to effectively communicate at all levels&nbsp
Able to efficiently manage multiple pieces of work simultaneously whilst keeping manager informed of issues and progress in a timely manner&nbsp
Proficient in Microsoft Excel i.e. vlookups, pivot tables, formula etc and Microsoft PowerPoint Good analytical thinking and problem-solving skills"
Senior Java Developer,COO & Functions,Technology,"B.S or equivalent degree with four years of education
Experience in Core Java server side programming, including Multi-threading and Performance Tuning&nbsp
Experience in building 2/ 3 tier applications with understanding of REST Service technology, Spring Boot, Spring Core, and Apache camel
Java8, J2EE, JDBC Template/ Sprint Data JPA","Familiarity with cloud technologies: OpenShift, AWS
Trained in SQL, querying, profiling, and performance tuning"
AMER - Production Engineer Manager,COO & Functions,Technology,"Practical experience of leading teams supporting and maintaining production environments with distributed systems and highly available services
Excellent knowledge of IT Infrastructure components (for example Linux or Windows Server OS, MS SQL or Oracle Databases, Networks, Load Balancers, Storage)
Practical experience of Observability/ Monitoring solutions (for example AppDynamics, Thousand Eyes, Splunk, ELK)
Working knowledge of modern programming languages like Java and Python with understanding of CI/ CD Pipelines and Repositories, for example Jenkins and GitHub","t have experience but do have a passion and a demonstratable understanding&nbsp
Understanding of software skills such as design, development, maintenance, testing and software improvement
Proven ability to develop others and drive inclusive and high performing teams
Flexibility to react effectively to changing priorities and a willingness to step outside of role boundaries to achieve results."
Network Engineer - Data,COO & Functions,Technology,"Significant years of experience in designing and implementing complex data networks
Significant year in-Depth technical knowledge of network components (switches, routers, firewalls, load balancers, proxy, wireless, etc.) and routing protocols (TCP/IP, BGP, OSPF, EIGRP, etc.)
4 year college degree in Telecommunication Networks, Electrical Engineering, Computer Science or equivalent experience&nbsp","Data - CCIE qualification or equivalent experience
Significant years experience in designing large-scale, enterprise network solutions in large, financial institutions
Experience managing relationships with senior business partners
Capable of bringing together expert knowledge from across the organization and consolidating into a cohesive end-to-end network solution"
Assistant Vice President of Quality Assurance,COO & Functions,Operations,"s Degree
One plus year experience in a similar level Quality Assurance role or similar business area experience
Quality Assurance Operations experience is a plus","Team player
Excellent communications skills
Great attention to detail
Ability to work with multiple stakeholders"
VP Product Marketing Manager,Barclays International,"Marketing, Communications & Corporate Relations","s degree in relevant field
experience in a marketing&nbsp
experience in credit card, finance or similar field&nbsp","Demonstrated leadership ability
L accountability and ownership
Excellent communication, analytical and decision making skills
Understanding of Agile process&nbsp"
AVP Marketing Capacity Planning,Barclays International,"Marketing, Communications & Corporate Relations","s degree or higher in related field
Ability to engage key stakeholders quickly and make a decision on limited information
Experience in leading a team in a time-constrained environment with many stakeholders and competing priorities
Must be able to work independently, and be capable of owning and managing projects from end-to-end","Results oriented with demonstrated and proven complex critical thinking skills
Experience in the Banking or Financial Services market is a plus&nbsp
Experience with Excel a plus
Excellent verbal and written communication skills"
Senior Manager Stability Assurance,COO & Functions,Technology,"middleware)
Demonstrable expertise leading service improvement initiatives
full knowledge of incident, change, and request processes
IT Problem Management expertise","Service First experience
Kepner Trego or Apollo Problem Management certified
Experience of operating within large scale shared services organisations
Knoweldge of Barclays and its internal structures"
Tech Delivery Lead,COO & Functions,Technology,"Experience in leading projects and embedding the associated business benefit, this will include identifying and tracking the critical path of the programme
Experience in managing project costs and resources for their deliverables, tracking actuals against budget
can describe alternative problem-solving approaches","Articulates concepts in day-to-day situations or in presentations to audiences at all levels by clearly defining the purpose of discussions (e.g. via one-on-ones, group meetings)
ITIL Practitioner who understands processes including change management, service transition, incident / problem management, etc
Previous experience in managing Product Lifecycle governance and ensure all cross functional teams are properly engaged and aligned&nbsp"
Relationship Manager,Barclays International,Investment Banking,"s Degree in Business
Knowledge of industry dynamics, regulatory and financial crime risk
Minimum of six years of client coverage experience, with strong preference covering the TMT, Professionals and Business Services Industries
Credit Risk Management knowledge","Commercial Effectiveness: Including Client /Customer Focus and Commerciality
Control Environment: Including Risk Management
Credit and Lending with knowledge of the TMT sector preferred"
Regulatory Analytics Strategy Lead,COO & Functions,Operations,"Analytical and problem-solving skills, with the ability to identify opportunities to use data to drive business decisions and develop effective solutions
Excellent communication skills, with the ability to present complex information in a clear and concise manner
Experience with scripting languages (VBA, Python, SQL), statistical software (SAS/ R) and data visualisation software (Tableau), and office applications
Leadership experience in a data and analytics focused environment","Familiarity with industry best practices and trends in data analytics
Degree or record of accomplishment in statistics, mathematics, computer science or related scientific disciplines
Have previously worked in an environment that has enabled them to gain a broad understanding of Financial Services"
GFCO Policy & Procedure Manager,COO & Functions,Operations,"s Degree in a business related field
Broad experience in the financial industry
Proven experience in Anti-Money Laundering, Sanctions Screening, PEPs, Enhanced Due Diligence, or Transaction Monitoring/SARs
Broad knowledge of AML, sanctions, EDD/PEPs, Transaction monitoring, Financial Crime Operations, governance and regulatory control frameworks with best practices</span>","'> you in the role:
Proven experience analyzing and drafting procedures/memorandum about financial crime laws and regulations, both in the UK and internationally
Broad experience writing financial procedures
Excellent problem-solving skills and detail oriented
GFCO</span>"
Cash & Liquidity Management Operations,COO & Functions,Operations,"Proven Analytical and problem-solving skills
Solid interpersonal skills including teamwork, partnership, and communication&nbsp
Proactive, positive attitude and a desire to make a difference
Confident approach to control / risk management across BAU processes","Ability to work in a fast-paced environment with changing priorities
Previous experience of working in an Operations role processes including liquidity management, treasury, securities, financing, network management and collateral is advantageous though strong knowledge in other areas is applicable
Solid business and operational knowledge within a fast paced, dynamic role
Experience driving process improvements and suggesting better ways of working"
Quality Assurance Analyst,COO & Functions,Operations,"Previous experience working in a Financial Crime environment, ideally in PEP, High Risk or Exits, Risk Management or Quality oversight specialism
Detailed knowledge and experience in practical interrogation and assessment of risk, and working knowledge of Financial Crime Customer Life Cycle Standards&nbsp
Broad experience in the financial services industry
Comprehensive level of knowledge in Excel and data analysis","Demonstrative positive attitude towards change is essential and a desire to solve problems and deliver solutions in a timely manner is required
Keen attention to detail
Excellent communication and problem-solving skills
Broad knowledge of Barclays Operations functions"
Business Analyst,COO & Functions,Technology,"You will have experience and a strong understanding of business analysis techniques
You will have proven ability to elicit, document and manage requirements as user stories
You will have experience of owning and managing business requirements from inception to product delivery and the ability to deliver to timescales and deadlines
You will be able to demonstrate you have experience of managing business stakeholders and communicating with a wide array of people, with the ability to negotiate and influence","Experience of working in a medium to large technology change programme
Business Analysis Accreditation(s)
Exposure to Pega software or business process management (BPM) applications
Onboarding processes and/or applications and Knowledge of Corporate and/or Investment Bank business areas"
Risk and Control Manager,COO & Functions,Operations,"Broad knowledge of Financial Crime regulations and policies (AML, Sanctions, and Anti-Bribery and Corruption)
Controls and/or audit in a highly regulated business environment
Proven track record of managerial experience
Making decisions regarding risk and control issues, the evaluation of risks and the correct treatment of these is key","Broad knowledge of Financial Services/AML and Sanctions policies
Excellent Stakeholder management experience and the ability to influence others positively
Proven experience of working at one with other colleagues, to achieve and often beat their objectives and assist others in doing so
Helping Operational colleagues with problem solving, applying a risk focus to Operational issues"
BBI Reporting,COO & Functions,Risk and Quantitative Analytics,"Numerate post graduate qualification or significant equivalent experience
Thorough knowledge of market risk methodologies and infrastructure especially reporting data flows and processes in one or more of the asset classes
Experience around market data / position data validation processes and knowledge of Capital reporting regulatory requirements
s Risk Control and Governance framework with an aim to assisting with the monitoring and management of the control tasks","CFA or FRM
Computing skills including Advanced Excel and Python and high degree of proficiency in SQL&nbsp
Financial products knowledge &nbsp
Experience in Market Risk Data Quality Control"
CVA Analyst,COO & Functions,Risk and Quantitative Analytics,"Numerate post graduate qualification or significant equivalent experience
Sound understanding of Financial markets and Financial Products&nbsp
Knowledge of Capital reporting regulatory requirements&nbsp
A good understanding of the Risk Control and Governance framework with ability to assist with the monitoring and management of the control tasks","Excellent computing skills including Advanced Excel and Python and high degree of proficiency in SQL&nbsp
Financial products knowledge &nbsp
Experience in Market Risk Data Quality Control / Market Risk will be an advantage"
Customer Service Advisor,COO & Functions,Relationship Management / Sales,"Strong communication, customer service and empathy skills, with the ability to use a range of communication styles to provide a personal approach
Proven ability to use Microsoft Office
The ability to educate our customers on a range of products and services&nbsp
'><strong>Where you will be working?</strong></span>
'>Our new state-of-the-art Campus, right in the heart of Glasgow is a hub of creative collaboration. A place where everyone can bring their true selves to work and reach their full potential. Home to 5,000 of our colleagues, our Tradeston campus will support the community in more ways than one - by creating thousands of new career opportunities and celebrating local artists. A short walk from Central Station on the south of the Clyde, it will be a key location for the Barclays business that will deepen our ties with the city and its communities.
#CS_Opportunities","Ability to work seamlessly as part of a team but also to their own initiative&nbsp
Experience in Retail Banking is desired but not essential, as we are looking for people that are passionate about customer service"
Head of Quality Assurance,COO & Functions,Operations,"Background in Financial Crime, in AML, Customer Due Diligence and risk assessment&nbsp
Knowledge in Global Anti Financial Crime risks and regulations
Demonstrable delivery and embedment of strong governance and oversight framework
Experience of working in a global operation, risk management or compliance environment","Experience of coaching and developing team members to high levels of performance
Solid history of successful continuous improvement and process / control execution
Financial Crime / Compliance / Risk Management related qualification preferred&nbsp"
Transaction Monitoring Tech Ops Manager,COO & Functions,Operations,"Proven experience of working at one with other colleagues, to achieve and often beat their objectives and assist others in doing so and be a role model for their sub-team
Demonstrating ability to be, a subject matter expert in AML, Correspondent Banking Transactional Monitoring
Developing, an excellent knowledge of relevant systems (e.g. Customer Gateway, Fortent, SAM8, MANTAS)
Ability to make tough decisions based on supporting evidence, and be able to support those decisions","Excellent verbal and written communication skills
Strong problem solving abilities
Proven experience working in an environment that has enabled them to gain a broad understanding of Financial Services and or Financial Crime
Broad knowledge of operational risk requirements and standards applicable to the relevant processes and procedures"
Lead Business Analyst,COO & Functions,Technology,"Experience of gathering Anti-Money Laundering requirements and/or defining business processes within Financial Services
Experience of implementation and management of service sustainability requirements of AML Technology Products like SAM8, SAM9/ActOne, Mantas&nbsp
Subject Matter Expert with respect to functionalities of the AML Solutions
Excellent verbal and written communication skills and a sound record of experience in successfully building relationships&nbsp","Exposure to transaction monitoring or AML within a financial services environment
Experience of working with a risk-based approach
Experience in the end-to-end management of change
Knowledge of transaction monitoring solutions"
IME - Customer Care Leader,COO & Functions,"Credit, Mortgages & Lending","Extensive experience operating in a contact centre environment where customer service is paramount&nbsp
Solid proven leadership skills including extensive coaching experience&nbsp
Experience of managing to a balanced scorecard, including proven experience in leading a commercially successful team","Competence scheme&nbsp
Knowledge of Mortgage products and services&nbsp"
GCS Prime Services & PDS Negotiator,COO & Functions,Legal,"Substantial experience, knowledge and understanding of the suite of prime services agreements, the Financial industry and Legal roles &nbsp
s Degree (no specific area)
Substantial experience of financial services negotiation experience of prime services agreements&nbsp
Competence in Microsoft Word, Excel, OutLook, and PowerPoint","Can demonstrate expertise in a suite of prime services agreements and have an ability to pick up legal and commercial concepts quickly
An ability to communicate clearly and effectively in both written and oral communications and able to tailor the approach to the audience and the situation
An ability to effectively manage a challenging and changing portfolio on a dynamic basis"
Internal Audit - Model Risk,COO & Functions,Internal Audit,"4+ years of combined quantitative undergraduate (Maths, Physics or Engineering) and/or postgraduate quantitative degree with a proven track of records
Experience in model testing or model development or validation role either in financial institutions with strong background in model risk, end-to-end model lifecycle
Background and practical knowledge of relevant regulatory environment including SR 11-7, SR 15-18, LCR, NSFR, CRR, or European equivalent requirements
Previous experience with data analytics and/or coding such as Python, SQL and other data science/machine learning techniques, model development or model testing","Post graduate degree in a quantitative field such as Financial Engineering, Computational Finance, OR&nbsp
Relevant professional qualifications/certifications such as CFA, FRM, CISA, CIA will be beneficial
Project management experience and ability to conduct complex work under pressure&nbsp
Practical knowledge of relevant regulatory environment and experience of driving audit strategy is desirable but not essential&nbsp"
Test Lead,COO & Functions,Technology,"Computer Science degree or equivalent experience
Five plus years working experience in QA automation framework like Selenium, Cucumber etc
experience design and dev of QA automation scripts using Java J2EE based applications
Five plus years working experience in Dev Ops configuration and CI/ CD set up along with performance engineering","experience using RDBMS product
Capital markets
Working experience building micro services for test automation"
Analyst - US Branch Regulatory Reporting,COO & Functions,Finance,"Bachelor of Science/Business Administration degree in Economics, Finance or Accounting
Experience working in Banking/Finance industry","CPA and understanding of financial statements (Balance Sheet/Income Statement)&nbsp
Knowledge of Microsoft programs and AXIOM&nbsp
Familiarity with accounting principles/practices&nbsp
Good communications skills"
Customer Service Representative 每 Bilingual Spanish,COO & Functions,Operations,"Fluent in Spanish, both verbal and written, either a native speaker or a language qualification
Fluent in English, both verbal and written, either a native speaker or a language qualification&nbsp
experience in a customer service or call center role
Determined and customer-focused with a positive and professional attitude","Attention to detail, an understanding of the importance of accuracy and responsiveness
Proficient with internet skills with excellent organization and work prioritization skills
Knowledge in Banking or credit card experience&nbsp"
Executive Assistant,COO & Functions,Operations,"Significant years of experience working as an Executive Assistant in a Financial Services or highly regulated environment
Proficient in Outlook, PowerPoint, Word, and Excel and comfortable using online tools","Ability to work quickly and accurately and remain calm under pressure
Able to take ownership of tasks and projects seeing them through to completion
Experience and impeccable discretion and judgment in handling highly confidential information"
Senior Reporting and Cloud Engineer,COO & Functions,Technology,"QlikSense, Tableau or Power BI
Experience of working in a Financial organization or awareness of financial concepts
Understanding of UX design principles for authoring powerful visualizations and story boarding
Deriving data insights and maintain them in dynamic Tableau dashboards, presentations and reports demonstrating multiple dimensions","college degree
Significant years of Technology background and experience on development tools
Significant years of experience in modern data analytics platforms&nbsp
Undertaking data analysis to support operational performance while providing comprehensive oversight to operational teams, senior leadership, service buyers and regulators"
Talent Management Lead,COO & Functions,Technology,"experience and/or understanding of a full lifecycle recruitment process
Ability to work with different internal teams that support hiring
s skill set
Proven data-driven mindset, with the ability to leverage MI effectively to drive outcomes","Project management, experience in planning and backing a variety of hiring channels
Excellent problem-solving skills, with the ability to think creatively and outside of the box
Strategically able to shape a compelling experience for candidates and hiring managers
Ability to act moving ideas into deliverables, providing operational assistance"
Lead Systems Engineer,COO & Functions,Technology,"Experience in administering Server Operating Systems, including Windows 2008-2016, Linux Red Hat 6-7with ability to configure, troubleshoot and monitoring
Server side and distributed applications management, and knowledge of application configuration, monitoring and maintenance of large scale infrastructure
Exposure to Agile and DevOps process, approaches, and tools
Third line support of a large critical system, and ability to track tasks, prepare reports, analyse service and system statuses","Solid attention to details
Solid verbal/ written communication and presentation skills with English level B1+ or higher
Analytical skills and problem-solving mind-set
Proactive, self-starter, who can be relied on and deliver results independently"
.Net Team Lead-Senior Software Engineer,COO & Functions,Technology,"Excellent C# .NET development skills
Experience with source control systems (e.g. Git), CI tools (e.g. TeamCity), Issue-tracking systems (e.g. JIRA), Agile methodologies (e.g. Scrum)
Knowledge of database structures and ability to write basic SQL
Understanding of the full SDLC lifecycle including both Waterfall and Agile methodologies","Excellent communication skills including the ability to convey information to non-technical colleagues in a concise and clear way
Previous experience in investment banking, or in the financial industry, or Knowledge of finance, investment banking, and/or trading
A strong analytical/problem solving mind-set
Strong organisational skills and ability to multi-task in a highly pressurised support environment.</span>"
Global Surveillance Transaction Monitoring- AVP,COO & Functions,Compliance,"Manage priorities and demands to achieve stretch goals and deliver results
Exceptional organizational skills - to execute against plans/deadlines
Ability to solve problems rationally and/or creatively, demonstrating professional judgment, quality control and adherence to high standards
Exposure to common Transaction Monitoring systems (Actimize SAM, Quantexa, Oracle Mantas)","Appreciation of the key concepts associated with risk management including inherent risk, controls, and residual risk
Significant Knowledge of effective risk and governance frameworks
Understanding in Financial Institution data (e.g., Customer/Account, Transactional, Payment), systems and flows
Knowledge of the UK and Global Financial Crime regulatory framework"
Java Developer,COO & Functions,Technology,"s Degree&nbsp
Significant years of hands on experience in Java technologies including Core Java, Spring boot, spring data JMS, Hibernate, micro services, application servers/containers (JBoss, Tomcat or others)
4+ years of hands on experience with Restful Services
3+ years of experience in Relational Databases like Oracle, SQL Server and PL/SQL","Ability to understand business requirements and develop software solutions
Experience spring-cloud and micro service architecture is a plus
Strong data analysis skills and ability to present the findings to the business users
strong analytical and problem-solving skills, with the ability to deal with numerous tasks simultaneously and with frequently changing priorities"
Lead Data Analyst,COO & Functions,Technology,"Expert level SQL skills
Comprehensive working knowledge on Oracle
Profound understanding or working experiences in SQL and NO SQL Databases
Good experience on LCT process, Version controlling, Unix Scripting","Good understanding of Financial Regulations and an interest in Banking
Knowledge in Customer Journeys in Banking Domain
Experience using business intelligence tools (e.g. Tableau)
Understanding of machine-learnings"
Senior Technical Lead Architect,COO & Functions,Technology,"University degree in Computer Science
Several years of experience in designing and developing web architectures&nbsp
Several years of Hands on experience with Java EE (JDBC, servlets, collections, threading knowledge, OO concepts) design, development, and implementation
Two plus years of Web UI experience (HTML, HTML5, CSS, JavaScript, JSON, AJAX, JavaScript frameworks)","Working experience in financial industry is a plus&nbsp
Solid attention to detail and ability to diagnose problems quickly and independently
Sharp, quick personality with ability to deal with business and system problems
Solid communication skills and willingness to learn new technologies"
Business Analyst,COO & Functions,Technology,"Certified Business Analysis Professional (CBAP) from the International institute of Business Analysis (IIBA)&nbsp
Agile Analysis Certification (AAC) from International institute of Business Analysis (IIBA)
Experience of working with firm wide Compliance function in Banking / Financial Services &nbsp
Computer Science / Technology Degree","Microsoft Visio, Balsamiq, Confluence, Jira&nbsp
Certified Scrum Product Owner (CSPO) and/or Certified Scrum Master (CSM) from Scrum Alliance&nbsp
Domain knowledge of Compliance policies applicable to Corporate and Investment Bank, Markets and Research&nbsp
Project management experience"
QA Automation Engineer,COO & Functions,Technology,"s Degree
Significant years of overall IT experience with minimum 4 years in automation space
Hands on experience in Selenium web driver with Angular based applications
Thorough knowledge of TDD with cucumber/feature files","Knowledge of the Compliance / Financial Crime domain will be a strong advantage
Data analytical skills with ability to identify data gaps
Experience of working with UI testing tools like protractor, Jasmine or Karma
Experience with Agile methodologies"
Application Support,COO & Functions,Technology,"Experience in production support
goal-oriented
Excellent domain knowledge in banking or financial sector, especially Data Support
Sound understanding of and experience in SDLC (both Waterfall and Agile)","Hands-on experience in ETL Concepts (DataStage, AbInitio etc.,) and Open Systems such as (Linux/Unix, Windows)
Monitoring tools like AppD , ELK, Netcool, Kibana
Expertise in Application Hosting Platforms such as Websphere, JBoss, Apache, Tomcat
Firewalls"
Business Analyst,COO & Functions,Technology,"Business and Data analysis skills with experience in data migration analysis and process and design mapping
Ability to effectively communicate with, influence and manage stakeholders at all levels, taking account of their levels of influence and interest
Demonstrable experience of gathering and documenting functional and non-functional requirements in at least 1 full end to end implementation
Experience as a Business Analyst on large, global, complex infrastructure change delivery","Formal Business Analyst qualifications and certifications
Knowledge of business readiness activities including training support and operational impact assessments
Experience in data architecture and implementation of strategic deliveries
Working knowledge of word processing tools and other relevant data analytics software packages"
BCP  Cloud Infrastructure Engineer,COO & Functions,Technology,"Experience of working in a Middleware service delivery environment or similar
Analytical ability covering incident recovery, root cause identification and eradication and pro-active service and process improvement
Understanding of the full project lifecycle and key quality gates with emphasis on validation and Live implementation phase
Ability to track and enforce adherence to Middleware product standards and acceptance criteria","OPENSHIFT V3 and V4
Docker/CRI-O
Kubernetes
WILY/ prometheus"
WCOB Regulatory VP Lead,COO & Functions,Operations,"s Degree or equivalent work experience
Experience with scripting languages (VBA, Python, SQL, Alteryx), statistical software (SAS/R) and data visualization software (Tableau), and office (Excel, Word, PowerPoint, Access)
Experience in optimizing and automating reporting, identifying appropriate opportunities to do so in order to drive capacity benefits
Knowledge of data management standards and data governance principles","Proven experience of managing operational processes/ leading small teams
Degree or record of accomplishment in statistics, mathematics, computer science or related scientific disciplines
Will have previously worked in an environment that has enabled them to gain a broad understanding of Financial Services"
AMER - Production Engineer Manager,COO & Functions,Technology,"Practical experience of leading teams supporting and maintaining production environments with distributed systems and highly available services
Excellent knowledge of IT Infrastructure components (for example Linux or Windows Server OS, MS SQL or Oracle Databases, Networks, Load Balancers, Storage)
Practical experience of Observability/ Monitoring solutions (for example AppDynamics, Thousand Eyes, Splunk, ELK)
Working knowledge of modern programming languages like Java and Python with understanding of CI/ CD Pipelines and Repositories, for example Jenkins and GitHub","t have experience but do have a passion and a demonstratable understanding&nbsp
Understanding of software skills such as design, development, maintenance, testing and software improvement
Proven ability to develop others and drive inclusive and high performing teams
Flexibility to react effectively to changing priorities and a willingness to step outside of role boundaries to achieve results."
Business Insights & Analytics - AVP,COO & Functions,Operations,"s Degree or equivalent work experience
Experience with scripting languages (VBA, Python, SQL, Alteryx), statistical software (SAS/R) and data visualization software (Tableau), and office (Excel, Word, PowerPoint, Access)
Experience in optimizing and automating reporting, identifying appropriate opportunities to do so in order to drive capacity benefits
Understanding of data management standards and data governance principles","Degree or record of accomplishment in statistics, mathematics, computer science or related scientific disciplines
Will have previously worked in an environment that has enabled them to gain a broad understanding of Financial Services"
Senior Java Developer,COO & Functions,Technology,"B.S or equivalent degree with four years of education
Experience in Core Java server side programming, including Multi-threading and Performance Tuning&nbsp
Experience in building 2/ 3 tier applications with understanding of REST Service technology, Spring Boot, Spring Core, and Apache camel
Java8, J2EE, JDBC Template/ Sprint Data JPA","Familiarity with cloud technologies: OpenShift, AWS
Trained in SQL, querying, profiling, and performance tuning"
Assistant Vice President of Quality Assurance,COO & Functions,Operations,"s Degree
One plus year experience in a similar level Quality Assurance role or similar business area experience
Quality Assurance Operations experience is a plus","Team player
Excellent communications skills
Great attention to detail
Ability to work with multiple stakeholders"
Network Engineer - Data,COO & Functions,Technology,"Significant years of experience in designing and implementing complex data networks
Significant year in-Depth technical knowledge of network components (switches, routers, firewalls, load balancers, proxy, wireless, etc.) and routing protocols (TCP/IP, BGP, OSPF, EIGRP, etc.)
4 year college degree in Telecommunication Networks, Electrical Engineering, Computer Science or equivalent experience&nbsp","Data - CCIE qualification or equivalent experience
Significant years experience in designing large-scale, enterprise network solutions in large, financial institutions
Experience managing relationships with senior business partners
Capable of bringing together expert knowledge from across the organization and consolidating into a cohesive end-to-end network solution"
Americas Finance Control Business Partner,COO & Functions,Operations,"s degree
Relevant experience in SOx/internal audit/internal controls/public accounting/financial services
Understanding of internal controls and governance within an Investment Bank or Broker Dealer&nbsp
Working knowledge of financial accounting and products, regulatory reporting, control governance and SOx","Experience of working independently to assess, improve and enhance a process and able to demonstrate a pragmatic approach to problem solving
Excellent communication and interpersonal skills and be able to effectively communicate at all levels&nbsp
Able to efficiently manage multiple pieces of work simultaneously whilst keeping manager informed of issues and progress in a timely manner&nbsp
Proficient in Microsoft Excel i.e. vlookups, pivot tables, formula etc and Microsoft PowerPoint Good analytical thinking and problem-solving skills"
